files	CTL1	CTL2	KO1	KO2
mmu-mir-6967-3p	0	0	0	2
mmu-mir-219b-5p	1	3	1	0
mmu-mir-125a-5p	592	537	785	776
mmu-mir-6994-3p	1	2	0	1
mmu-mir-324-3p	95	137	57	24
mmu-mir-196a-2-3p	5	1	4	1
mmu-mir-667-5p	55	71	99	47
mmu-mir-669f-5p	55	59	47	25
mmu-mir-6392-5p	0	0	1	1
mmu-mir-374b-3p	1	4	3	1
mmu-mir-455-5p	47	37	16	33
mmu-mir-193a-5p	3	17	7	5
mmu-mir-669g	3	3	9	1
mmu-mir-1930-3p	1	0	1	2
mmu-mir-7688-3p	1	0	0	0
mmu-mir-500-5p	4	1	0	1
mmu-mir-704	5	6	3	2
mmu-mir-1197-3p	126	120	54	36
mmu-mir-1249-5p	0	1	1	0
mmu-mir-188-3p	1	0	1	1
mmu-mir-7648-3p	1	0	0	0
mmu-mir-7238-5p	0	0	1	0
mmu-mir-425-5p	621	608	596	623
mmu-mir-6942-5p	0	0	2	0
mmu-mir-491-5p	1	2	0	1
mmu-mir-467c-3p	2	2	1	0
mmu-mir-466l-5p	0	1	1	2
mmu-mir-1198-3p	2	3	3	2
mmu-mir-1a-3p	3	2	1	3
mmu-mir-342-3p	84	108	67	62
mmu-mir-1953	0	2	1	0
mmu-mir-1955-5p	0	2	5	2
mmu-mir-3103-3p	2	0	0	0
mmu-mir-466k	9	7	13	8
mmu-mir-1968-5p	54	90	78	52
mmu-mir-326-3p	6	11	6	2
mmu-mir-1960	2	4	0	0
mmu-mir-196b-5p	4	4	4	3
mmu-let-7d-5p	69	103	2634	3396
mmu-mir-7669-5p	0	0	1	0
mmu-mir-126b-3p	1	1	2	0
mmu-mir-5103	4	1	2	0
mmu-mir-5121	32	52	71	41
mmu-mir-505-5p	11	9	8	7
mmu-mir-676-3p	75	95	78	78
mmu-mir-23a-3p	144	238	218	110
mmu-mir-3094-3p	0	0	1	0
mmu-mir-215-5p	1	0	0	1
mmu-mir-6933-5p	2	1	6	5
