miRNA	log2FoldChange	padj
mmu-let-7i-5p	5.02716531256558	6.404351316124e-60
mmu-let-7d-5p	4.8866623348632	1.91750249948729e-49
mmu-let-7d-3p	3.94249671175264	7.1726286695975e-19
mmu-mir-98-5p	3.57433924678152	2.60261584880029e-19
mmu-let-7f-5p	3.12010153575356	5.79858426563376e-23
mmu-let-7g-5p	2.92785728445682	2.05306717778037e-23
mmu-let-7a-5p	2.90778226655155	8.18953799823816e-20
mmu-let-7i-3p	2.08895178457252	0.00876436187351679
mmu-let-7b-5p	1.79987943655738	0.019159279552212
mmu-mir-1981-5p	1.72355795127403	4.8972263570189e-07
mmu-let-7c-2-3p	1.46042734781524	0.0450415019619569
mmu-mir-302b-3p	1.23782787439846	0.00849858857771604
mmu-mir-30a-5p	-1.0113357637172	0.00876436187351679
mmu-mir-340-5p	-1.04132337164805	0.00802544076080266
mmu-mir-19b-3p	-1.06766717344343	0.0243191064325974
mmu-mir-363-5p	-1.17010089121688	0.0344442814796765
mmu-mir-1197-3p	-1.19218950191895	0.0450415019619569
mmu-mir-1983	-1.19621065547337	0.00158043055536535
mmu-mir-31-5p	-1.38350828597049	0.0422372896223346
mmu-mir-494-3p	-1.40364141632927	0.000122683762614791
mmu-mir-152-3p	-1.41263555856316	0.00730249138158626
mmu-mir-19a-3p	-1.49511055376477	0.00126783630171892
mmu-mir-146a-5p	-1.68083680383162	0.0087901477442284
mmu-mir-345-3p	-1.83914356318161	0.000424942862161953
mmu-mir-679-5p	-2.01296852787068	0.000184142228073719
