CTL1	CTL2	KO1	KO2
mmu-let-7g-5p	1740.75267787835	1625.10699119565	12403.0267143214	16613.5626953527
mmu-let-7f-5p	723.792291727335	906.841549496489	6539.34783361575	10076.0788437634
mmu-let-7a-5p	315.719486302428	331.893949723299	2210.70151349185	3433.00031402557
mmu-let-7i-5p	243.769807451194	179.356831416126	7412.35213347267	10369.3973941757
mmu-let-7e-5p	189.002141459957	191.090455901294	312.826540782063	443.497648223399
mmu-let-7c-5p	119.200214216223	200.309732282496	175.510239450402	246.387582346333
mmu-let-7d-5p	74.0974304587331	86.325951569444	2395.30554773243	3984.4391888007
mmu-mir-98-5p	30.0685225049931	21.7910169010247	311.007781824028	538.532858556984
mmu-let-7c-2-3p	15.0342612524966	14.2479725891315	54.5627687410576	50.4507906709158
mmu-let-7d-3p	10.7387580374976	6.70492827723837	250.079356729847	190.070420667171
mmu-let-7f-2-3p	6.44325482249853	0	12.7313127062468	10.5594678148428
mmu-let-7e-3p	3.22162741124927	1.67623206930959	7.27503583214101	8.21291941154442
mmu-let-7b-5p	2.14775160749951	14.2479725891315	40.9220765557932	57.490435880811
mmu-let-7i-3p	2.14775160749951	1.67623206930959	22.7344869754406	26.9853066379317
mmu-mir-98-3p	2.14775160749951	0	15.4594511432996	5.86637100824602
mmu-let-7a-2-3p	1.07387580374975	0	0	0
mmu-let-7g-3p	0	2.51434810396439	11.8219332272291	11.732742016492
mmu-let-7j	0	0.838116034654796	9.09379479017626	11.732742016492
mmu-let-7k	0	0	1.81875895803525	5.86637100824602
mmu-let-7b-3p	0	0	0	1.1732742016492
mmu-let-7a-1-3p	0	0	0	2.34654840329841
mmu-let-7f-1-3p	0	0	7.27503583214101	16.4258388230888
