CTL1	CTL2	KO1	KO2
mmu-let-7g-5p	10.7663240660443	10.6672064686367	13.5985209177214	14.0201607005331
mmu-let-7f-5p	9.50142380196643	9.82629670788176	12.6751516489005	13.2987898687458
mmu-let-7a-5p	8.30706182230355	8.37891883981579	11.1109409803333	11.7456744559308
mmu-let-7i-5p	7.9352818012088	7.49471025921855	12.8559103255453	13.34018355891
mmu-let-7e-5p	7.569871868627	7.58564202962182	8.29382355812754	8.79603197574672
mmu-let-7c-5p	6.90929565694202	7.65327311055008	7.46360806718523	7.95062927563073
mmu-let-7d-5p	6.23069164007214	6.44833855328664	11.2265961594389	11.9605230002434
mmu-mir-98-5p	4.9573817291568	4.51039339181771	8.28543820174343	9.07556701498136
mmu-let-7c-2-3p	4.00308598082088	3.93054552575628	5.79604658674569	5.68512134281796
mmu-let-7d-3p	3.55320787404019	2.94578152720675	7.97199960760058	7.57796064386319
mmu-let-7f-2-3p	2.89593362797916	0	3.77939764784977	3.53100307416534
mmu-let-7e-3p	2.07779925616901	1.42020322462114	3.04876555901837	3.20365839335908
mmu-let-7b-5p	1.65432170070329	3.93054552575628	5.38963827556392	5.87012883521813
mmu-let-7i-3p	1.65432170070329	1.42020322462114	4.56891296091817	4.80659765046798
mmu-mir-98-3p	1.65432170070329	0	4.04084432335396	2.7795478120426
mmu-let-7a-2-3p	1.05232949941665	0	0	0
mmu-let-7g-3p	0	1.81325710056368	3.68054189561669	3.67047123428457
mmu-let-7j	0	0.878227842436048	3.33539675651899	3.67047123428457
mmu-let-7k	0	0	1.49506011327001	2.7795478120426
mmu-let-7b-3p	0	0	0	1.11987021059961
mmu-let-7a-1-3p	0	0	0	1.74267388108748
mmu-let-7f-1-3p	0	0	3.04876555901837	4.12315619929
